Step,Agent,Energy
39,Agent4,231
39,Agent5,181
40,Agent1,130
40,Agent2,200
40,Agent3,260
40,Agent4,230
40,Agent5,180
41,Agent1,129
41,Agent2,199
41,Agent3,259
41,Agent4,229
41,Agent5,179
42,Agent1,128
42,Agent2,218
42,Agent3,278
42,Agent4,228
42,Agent5,178
43,Agent1,127
43,Agent2,217
43,Agent3,277
43,Agent4,227
43,Agent5,227
44,Agent1,176
44,Agent2,216
44,Agent3,276
44,Agent4,226
44,Agent5,226
45,Agent1,175
45,Agent2,215
45,Agent3,305
45,Agent4,225
45,Agent5,225
46,Agent1,174
46,Agent2,244
46,Agent3,304
46,Agent4,224
46,Agent5,224
47,Agent1,173
47,Agent2,243
47,Agent3,303
47,Agent4,223
47,Agent5,273
48,Agent1,172
48,Agent2,242
48,Agent3,302
48,Agent4,222
48,Agent5,272
49,Agent1,171
49,Agent2,241
49,Agent3,321
49,Agent4,221
49,Agent5,271
50,Agent1,170
50,Agent2,240
50,Agent3,320
50,Agent4,220
50,Agent5,270
51,Agent1,169
51,Agent2,239
51,Agent3,319
51,Agent4,219
51,Agent5,269
52,Agent1,168
52,Agent2,258
52,Agent3,318
52,Agent4,218
52,Agent5,268
53,Agent1,167
53,Agent2,257
53,Agent3,317
53,Agent4,217
53,Agent5,267
54,Agent1,166
54,Agent2,256
54,Agent3,316
54,Agent4,216
54,Agent5,266
55,Agent1,165
55,Agent2,255
55,Agent3,315
55,Agent4,215
55,Agent5,265
56,Agent1,164
56,Agent2,274
56,Agent3,314
56,Agent4,214
56,Agent5,264
57,Agent1,163
57,Agent2,273
57,Agent3,313
57,Agent4,213
57,Agent5,263
58,Agent1,212
58,Agent2,272
58,Agent3,312
58,Agent4,212
58,Agent5,262
59,Agent1,211
59,Agent2,271
59,Agent3,311
59,Agent4,211
59,Agent5,261
60,Agent1,210
60,Agent2,270
60,Agent3,310
60,Agent4,210
60,Agent5,260
61,Agent1,209
61,Agent2,269
61,Agent3,309
61,Agent4,209
61,Agent5,259
62,Agent1,208
62,Agent2,268
62,Agent3,308
62,Agent4,233
62,Agent5,258
63,Agent1,207
63,Agent2,267
63,Agent3,327
63,Agent4,232
63,Agent5,257
64,Agent1,206
64,Agent2,266
64,Agent3,326
64,Agent4,231
64,Agent5,256
65,Agent1,205
65,Agent2,265
65,Agent3,325
65,Agent4,230
65,Agent5,255
66,Agent1,204
66,Agent2,264
66,Agent3,324
66,Agent4,254
66,Agent5,254
67,Agent1,253
67,Agent2,263
67,Agent3,323
67,Agent4,253
67,Agent5,253
68,Agent1,252
68,Agent2,262
68,Agent3,322
68,Agent4,252
68,Agent5,252
69,Agent1,251
69,Agent2,261
69,Agent3,321
69,Agent4,251
69,Agent5,251
70,Agent1,250
70,Agent2,260
70,Agent3,320
70,Agent4,250
70,Agent5,250
71,Agent1,249
71,Agent2,259
71,Agent3,319
71,Agent4,249
71,Agent5,249
72,Agent1,248
72,Agent2,258
72,Agent3,318
72,Agent4,248
72,Agent5,248
73,Agent1,247
73,Agent2,257
73,Agent3,317
