Step,Agent,Action
66,Agent5,collected red
67,Agent1,ate red (+50)
67,Agent2,moved down (energy: 263)
67,Agent3,moved down (energy: 323)
67,Agent4,moved left (energy: 253)
67,Agent5,ate red (+0)
68,Agent1,moved up (energy: 252)
68,Agent2,moved right (energy: 262)
68,Agent3,moved right (energy: 322)
68,Agent4,moved right (energy: 252)
68,Agent5,moved right (energy: 252)
69,Agent1,moved down (energy: 251)
69,Agent2,moved up (energy: 261)
69,Agent3,moved up (energy: 321)
69,Agent4,moved left (energy: 251)
69,Agent5,moved down (energy: 251)
70,Agent1,moved up (energy: 250)
70,Agent2,moved left (energy: 260)
70,Agent3,moved left (energy: 320)
70,Agent4,moved right (energy: 250)
70,Agent5,moved right (energy: 250)
71,Agent1,moved down (energy: 249)
71,Agent2,moved down (energy: 259)
71,Agent3,moved down (energy: 319)
71,Agent4,moved down (energy: 249)
71,Agent5,moved right (energy: 249)
72,Agent1,moved right (energy: 248)
72,Agent2,moved right (energy: 258)
72,Agent3,moved right (energy: 318)
72,Agent4,moved up (energy: 248)
72,Agent5,move blocked
73,Agent1,moved up (energy: 247)
73,Agent2,moved up (energy: 257)
73,Agent3,moved up (energy: 317)
